Año;1950;1955;1960;1965;1970;1975;1980;1985;1990;1995;2000;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050
"0-4
";"270985
";"348279
";"397856
";"459682
";"527215
";"589825
";"652139
";"694700
";"714576
";"722017
";"743637
";"737258
";"729658
";"724305
";"718998
";"707629
";"693407
";"674875
";"655373
";"635600
";"627434
"
"5-9
";"217301
";"253721
";"328796
";"378680
";"440380
";"508341
";"572537
";"637655
";"683641
";"706051
";"714070
";"737543
";"732520
";"725718
";"721118
";"716079
";"704989
";"691050
";"672783
";"653525
";"633967
"
"10-14
";"188722
";"212049
";"248867
";"324144
";"373973
";"435663
";"503725
";"568346
";"634192
";"680133
";"700317
";"709081
";"733902
";"729650
";"723592
";"719143
";"714267
";"703361
";"689585
";"671478
";"652362
"
"15-19
";"162932
";"185206
";"208815
";"245905
";"320737
";"370566
";"432139
";"500134
";"564891
";"627458
";"657668
";"680849
";"697754
";"726381
";"726053
";"720270
";"716101
";"711524
";"700899
";"687392
";"669531
"
"20-24
";"139965
";"159305
";"181726
";"205612
";"242524
";"316843
";"366541
";"427982
";"495777
";"553592
";"584068
";"619791
";"659047
";"683597
";"719713
";"719853
";"714616
";"711009
";"706928
";"696799
";"683735
"
"25-29
";"118897
";"136213
";"155617
";"178181
";"201993
";"238721
";"312404
";"362015
";"423026
";"484632
";"515592
";"550287
";"598999
";"644313
";"675086
";"711364
";"712157
";"707677
";"704724
";"701251
";"691691
"
"30-34
";"102451
";"115076
";"132414
";"151934
";"174359
";"198111
";"234601
";"307625
";"356831
";"413102
";"454676
";"488676
";"532857
";"585806
";"635409
";"666357
";"702849
";"704359
";"700572
";"698240
";"695319
"
"35-39
";"94752
";"98619
";"111339
";"128763
";"148082
";"170326
";"193956
";"230209
";"302217
";"347888
";"389431
";"433025
";"473855
";"521035
";"576855
";"626271
";"657415
";"694141
";"696280
";"693132
";"691342
"
"40-44
";"79259
";"90572
";"94861
";"107756
";"124863
";"143878
";"165841
";"189292
";"225037
";"294100
";"331026
";"373564
";"420767
";"463167
";"511813
";"567176
";"616383
";"647724
";"684562
";"687277
";"684697
"
"45-49
";"69105
";"74920
";"86303
";"91103
";"103699
";"120410
";"139044
";"160654
";"183804
";"217995
";"281227
";"318410
";"362447
";"409983
";"452853
";"500927
";"555730
";"604659
";"636078
";"672904
";"676150
"
"50-54
";"61000
";"64292
";"70438
";"81977
";"86689
";"98847
";"115094
";"133365
";"154545
";"176858
";"208335
";"270440
";"307863
";"351476
";"398529
";"440671
";"488013
";"542065
";"590437
";"621741
";"658315
"
"55-59
";"53870
";"55351
";"59192
";"65772
";"76630
";"81122
";"92806
";"108561
";"126370
";"146954
";"168227
";"199246
";"259636
";"296181
";"338721
";"384484
";"425635
";"471947
";"524800
";"572217
";"603089
"
"60-64
";"45156
";"46921
";"49140
";"53530
";"59606
";"69592
";"74055
";"85332
";"100649
";"117905
";"137600
";"158469
";"188298
";"245911
";"281004
";"321772
";"365741
";"405473
";"450176
";"501184
";"547039
"
"65-69
";"35055
";"36802
";"39297
";"42249
";"46126
";"51477
";"60689
";"65485
";"76439
";"91189
";"108050
";"127014
";"146500
";"174351
";"228007
";"260915
";"299225
";"340669
";"378225
";"420487
";"468682
"
"70-74
";"23568
";"25672
";"28104
";"31227
";"33658
";"36838
";"41693
";"50159
";"55136
";"65668
";"80194
";"96338
";"113430
";"131051
";"156189
";"204565
";"234469
";"269362
";"307141
";"341484
";"380112
"
"75-79
";"12873
";"14519
";"16784
";"19426
";"21771
";"23668
";"26480
";"30871
";"38193
";"43551
";"54325
";"68066
";"81878
";"96538
";"111667
";"133252
";"174758
";"200591
";"230733
";"263401
";"293154
"
>80;"7724
";"8131
";"9613
";"11972
";"14507
";"17072
";"19783
";"23411
";"29315
";"38028
";"47416
";"60311
";"76572
";"95062
";"115556
";"137702
";"164941
";"207651
";"250489
";"296303
";"345695
"
